rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,status,status,service,latitude,longitude,altitude,position_covariance,position_covariance_type
1518311036890673058,,172,,0,0,'',,0,0,4220.5326419,-7103.9292241,2.29,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518311037116861866,,173,,0,0,'',,0,0,4220.5324955,-7103.9286609,2.918,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518311037283202283,,174,,0,0,'',,0,0,4220.5323837,-7103.9288844,2.431,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518311037489023178,,175,,0,0,'',,0,0,4220.5323358,-7103.9296377,1.809,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518311037697216205,,176,,0,0,'',,0,0,4220.5322485,-7103.929149,1.426,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518311038313207914,,177,,0,0,'',,0,0,4220.5321411,-7103.9287287,1.202,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518311038316327165,,178,,0,0,'',,0,0,4220.5318461,-7103.9292453,4.334,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518311038318384340,,179,,0,0,'',,0,0,4220.5322261,-7103.9303436,1.208,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518311038505961798,,180,,0,0,'',,0,0,4220.5321616,-7103.9303099,1.579,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518311038680722909,,181,,0,0,'',,0,0,4220.5320419,-7103.9303643,1.981,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518311038921115699,,182,,0,0,'',,0,0,4220.5316999,-7103.9281135,3.257,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518311039116271269,,183,,0,0,'',,0,0,4220.5319089,-7103.9292953,1.736,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518311039300183293,,184,,0,0,'',,0,0,4220.5320218,-7103.9299444,1.666,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518311039482914694,,185,,0,0,'',,0,0,4220.5324828,-7103.9290941,-0.663,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518311039718745546,,186,,0,0,'',,0,0,4220.5324401,-7103.9289865,-0.904,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518311040251628834,,187,,0,0,'',,0,0,4220.5327745,-7103.9307543,0.329,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518311040407397357,,188,,0,0,'',,0,0,4220.5325922,-7103.9309466,1.598,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518311040474567970,,189,,0,0,'',,0,0,4220.5325115,-7103.9301426,-0.894,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518311040519965427,,190,,0,0,'',,0,0,4220.5319336,-7103.9302965,1.365,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518311040676588071,,191,,0,0,'',,0,0,4220.5323846,-7103.9310779,2.671,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518311041691753020,,192,,0,0,'',,0,0,4220.5315133,-7103.9298034,3.117,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518311041697215712,,193,,0,0,'',,0,0,4220.5327698,-7103.9315479,-0.686,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518311041698979607,,194,,0,0,'',,0,0,4220.5320017,-7103.9286845,-0.711,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518311041753842216,,195,,0,0,'',,0,0,4220.5328085,-7103.9330159,0.761,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518311041898334595,,196,,0,0,'',,0,0,4220.5321565,-7103.9297914,0.833,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518311041904446285,,197,,0,0,'',,0,0,4220.5318387,-7103.9294953,2.06,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518311042134325096,,198,,0,0,'',,0,0,4220.5320636,-7103.9317454,2.03,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518311042287622023,,199,,0,0,'',,0,0,4220.5322439,-7103.9324688,3.265,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518311042919997872,,200,,0,0,'',,0,0,4220.5313343,-7103.9302022,1.616,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518311042925304896,,201,,0,0,'',,0,0,4220.5322466,-7103.9300775,3.634,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518311042928340058,,202,,0,0,'',,0,0,4220.531286,-7103.9297692,0.087,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518311043189396945,,203,,0,0,'',,0,0,4220.5319461,-7103.9305231,5.673,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518311043312607222,,204,,0,0,'',,0,0,4220.5310175,-7103.9289543,1.654,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518311043872990566,,205,,0,0,'',,0,0,4220.5308471,-7103.9286208,2.147,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518311043921112927,,206,,0,0,'',,0,0,4220.5309055,-7103.9295127,1.567,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518311044455617189,,207,,0,0,'',,0,0,4220.5299927,-7103.9297212,-1.761,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518311044461822228,,208,,0,0,'',,0,0,4220.5310193,-7103.9321356,3.619,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518311044764524901,,209,,0,0,'',,0,0,4220.5310284,-7103.9321759,3.546,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518311045016090098,,210,,0,0,'',,0,0,4220.5303253,-7103.9294482,4.618,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518311045016251591,,211,,0,0,'',,0,0,4220.5311341,-7103.9320585,2.193,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518311045281030863,,212,,0,0,'',,0,0,4220.529376,-7103.9293136,0.077,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518311045282041812,,213,,0,0,'',,0,0,4220.5287251,-7103.9277658,1.502,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518311045285136179,,214,,0,0,'',,0,0,4220.5274068,-7103.9263137,0.097,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518311045480131084,,215,,0,0,'',,0,0,4220.5303654,-7103.9300078,1.78,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518311046295507808,,216,,0,0,'',,0,0,4220.530893,-7103.9303479,1.652,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518311046361344189,,217,,0,0,'',,0,0,4220.5281769,-7103.9265591,-0.178,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518311046363702719,,218,,0,0,'',,0,0,4220.5287434,-7103.9275235,1.384,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518311046439576572,,219,,0,0,'',,0,0,4220.5292321,-7103.9275911,0.473,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518311046513944907,,220,,0,0,'',,0,0,4220.5305616,-7103.9290979,2.176,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518311046702834136,,221,,0,0,'',,0,0,4220.5305677,-7103.9292709,1.772,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518311047219054321,,222,,0,0,'',,0,0,4220.5307104,-7103.9297322,1.208,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518311047221850057,,223,,0,0,'',,0,0,4220.5303139,-7103.9281669,1.931,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518311047304040396,,224,,0,0,'',,0,0,4220.5314753,-7103.9291498,5.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
