rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,status,status,service,latitude,longitude,altitude,position_covariance,position_covariance_type
1518446509540215692,,19,,0,0,'',,0,0,4220.1794677,-7105.3015218,45.157,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518446509726028452,,20,,0,0,'',,0,0,4220.1794732,-7105.3015375,45.102,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518446509929970196,,21,,0,0,'',,0,0,4220.1794972,-7105.301583,45.126,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518446510126793383,,22,,0,0,'',,0,0,4220.179509,-7105.3016181,45.164,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518446510329885863,,23,,0,0,'',,0,0,4220.1795141,-7105.3016409,45.211,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518446510530448107,,24,,0,0,'',,0,0,4220.1795193,-7105.3016683,45.227,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518446510739485634,,25,,0,0,'',,0,0,4220.1795169,-7105.3016932,45.225,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518446510941914437,,26,,0,0,'',,0,0,4220.1795189,-7105.3017063,45.244,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518446511140767886,,27,,0,0,'',,0,0,4220.1795512,-7105.301752,45.091,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518446511352450576,,28,,0,0,'',,0,0,4220.1795752,-7105.3017929,44.957,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518446511558252339,,29,,0,0,'',,0,0,4220.1796056,-7105.301827,44.816,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518446511724859966,,30,,0,0,'',,0,0,4220.1796373,-7105.3018595,44.672,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518446511934437932,,31,,0,0,'',,0,0,4220.1796254,-7105.3019395,44.429,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518446512140632326,,32,,0,0,'',,0,0,4220.1796316,-7105.301991,44.27,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
